artist,asset,candidate,candidate_score,common,credit,key,license,rank,scientific,source,status,url
John James Audubon,cardinalis-cardinalis.webp,File:159 Cardinal Grosbeak.jpg,460,Northern Cardinal,University of Pittsburgh,cardinalis-cardinalis,Public domain,1,Cardinalis cardinalis,audubon,generated,https://commons.wikimedia.org/wiki/File:159_Cardinal_Grosbeak.jpg
John James Audubon,mimus-polyglottos.webp,File:21 Mocking Bird.jpg,460,Northern Mockingbird,University of Pittsburgh,mimus-polyglottos,Public domain,2,Mimus polyglottos,audubon,generated,https://commons.wikimedia.org/wiki/File:21_Mocking_Bird.jpg
Gerhard Heilmann,zenaida-asiatica.webp,File:Heilmann fig140.jpg,210,White-winged Dove,The Danish book Vor Nuvaerende Viden om Fuglenes Afstamming,zenaida-asiatica,Public domain,3,Zenaida asiatica,commons-pd,generated,https://commons.wikimedia.org/wiki/File:Heilmann_fig140.jpg
John James Audubon,zenaida-macroura.webp,File:Zenaida macrouraAWP17AA.jpg,540,Mourning Dove,Scan of modern reproduction of The Birds of America (edited and color-corrected),zenaida-macroura,Public domain,4,Zenaida macroura,audubon,generated,https://commons.wikimedia.org/wiki/File:Zenaida_macrouraAWP17AA.jpg
,columba-livia.webp,,,Rock Pigeon,,columba-livia,,5,Columba livia,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVRock_Dove.jpg
,streptopelia-decaocto.webp,,,Eurasian Collared-Dove,,streptopelia-decaocto,,6,Streptopelia decaocto,keulemans,existing,https://commons.wikimedia.org/wiki/File:Onze_vogels_in_huis_en_tuin_(12238985825).jpg
,cyanocitta-cristata.webp,,,Blue Jay,,cyanocitta-cristata,,7,Cyanocitta cristata,audubon,existing,https://media.audubon.org/boa_illustration/plate-102-blue-jay.jpg
,,,,Carolina Chickadee,,poecile-carolinensis,,8,Poecile carolinensis,,missing-source,
John James Audubon,thryothorus-ludovicianus.webp,File:78 Great Carolina Wren.jpg,540,Carolina Wren,University of Pittsburgh,thryothorus-ludovicianus,Public domain,9,Thryothorus ludovicianus,audubon,generated,https://commons.wikimedia.org/wiki/File:78_Great_Carolina_Wren.jpg
John James Audubon,troglodytes-aedon.webp,File:83 House Wren.jpg,540,House Wren,University of Pittsburgh,troglodytes-aedon,Public domain,10,Troglodytes aedon,audubon,generated,https://commons.wikimedia.org/wiki/File:83_House_Wren.jpg
John James Audubon,thryomanes-bewickii.webp,File:18 Bewick's Wren.jpg,540,Bewick's Wren,University of Pittsburgh,thryomanes-bewickii,Public domain,11,Thryomanes bewickii,audubon,generated,https://commons.wikimedia.org/wiki/File:18_Bewick's_Wren.jpg
John James Audubon,baeolophus-bicolor.webp,File:39 Crested Titmouse.jpg,460,Tufted Titmouse,University of Pittsburgh,baeolophus-bicolor,Public domain,12,Baeolophus bicolor,audubon,generated,https://commons.wikimedia.org/wiki/File:39_Crested_Titmouse.jpg
,,,,Black-crested Titmouse,,baeolophus-atricristatus,,13,Baeolophus atricristatus,,missing-source,
,,,,Great-tailed Grackle,,quiscalus-mexicanus,,14,Quiscalus mexicanus,,missing-source,
,,,,Common Grackle,,quiscalus-quiscula,,15,Quiscalus quiscula,,missing-source,
,,,,Brown-headed Cowbird,,molothrus-ater,,16,Molothrus ater,,missing-source,
,,,,Red-winged Blackbird,,agelaius-phoeniceus,,17,Agelaius phoeniceus,,missing-source,
,passer-domesticus.webp,,,House Sparrow,,passer-domesticus,,18,Passer domesticus,vonwright,existing,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00220.jpg
,,,,House Finch,,haemorhous-mexicanus,,19,Haemorhous mexicanus,,missing-source,
,,,,American Goldfinch,,spinus-tristis,,20,Spinus tristis,,missing-source,
,,,,Lesser Goldfinch,,spinus-psaltria,,21,Spinus psaltria,,missing-source,
,,,,Cedar Waxwing,,bombycilla-cedrorum,,22,Bombycilla cedrorum,,missing-source,
,turdus-migratorius.webp,,,American Robin,,turdus-migratorius,,23,Turdus migratorius,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIMigratory_Ouzel.jpg
,,,,Eastern Bluebird,,sialia-sialis,,24,Sialia sialis,,missing-source,
,sturnus-vulgaris.webp,,,European Starling,,sturnus-vulgaris,,25,Sturnus vulgaris,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIStarling.jpg
,,,,Black Vulture,,coragyps-atratus,,26,Coragyps atratus,,missing-source,
,,,,Turkey Vulture,,cathartes-aura,,27,Cathartes aura,,missing-source,
,,,,Red-tailed Hawk,,buteo-jamaicensis,,28,Buteo jamaicensis,,missing-source,
,,,,Red-shouldered Hawk,,buteo-lineatus,,29,Buteo lineatus,,missing-source,
,,,,Cooper's Hawk,,astur-cooperii,,30,Astur cooperii,,missing-source,
,,,,Mississippi Kite,,ictinia-mississippiensis,,31,Ictinia mississippiensis,,missing-source,
,,,,Swainson's Hawk,,buteo-swainsoni,,32,Buteo swainsoni,,missing-source,
,,,,Crested Caracara,,caracara-plancus,,33,Caracara plancus,,missing-source,
,,,,American Kestrel,,falco-sparverius,,34,Falco sparverius,,missing-source,
,,,,Eastern Screech-Owl,,megascops-asio,,35,Megascops asio,,missing-source,
,,,,Great Horned Owl,,bubo-virginianus,,36,Bubo virginianus,,missing-source,
,strix-varia.webp,,,Barred Owl,,strix-varia,,37,Strix varia,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIBarred_Owl.jpg
,,,,Chimney Swift,,chaetura-pelagica,,38,Chaetura pelagica,,missing-source,
,,,,Purple Martin,,progne-subis,,39,Progne subis,,missing-source,
,hirundo-rustica.webp,,,Barn Swallow,,hirundo-rustica,,40,Hirundo rustica,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIChimney_Swallow.jpg
,,,,Cliff Swallow,,petrochelidon-pyrrhonota,,41,Petrochelidon pyrrhonota,,missing-source,
,,,,Cave Swallow,,petrochelidon-fulva,,42,Petrochelidon fulva,,missing-source,
,,,,Tree Swallow,,tachycineta-bicolor,,43,Tachycineta bicolor,,missing-source,
,,,,Northern Rough-winged Swallow,,stelgidopteryx-serripennis,,44,Stelgidopteryx serripennis,,missing-source,
,,,,Ruby-throated Hummingbird,,archilochus-colubris,,45,Archilochus colubris,,missing-source,
,,,,Black-chinned Hummingbird,,archilochus-alexandri,,46,Archilochus alexandri,,missing-source,
,,,,Buff-bellied Hummingbird,,amazilia-yucatanensis,,47,Amazilia yucatanensis,,missing-source,
,,,,Rufous Hummingbird,,selasphorus-rufus,,48,Selasphorus rufus,,missing-source,
,coccyzus-americanus.webp,,,Yellow-billed Cuckoo,,coccyzus-americanus,,49,Coccyzus americanus,gould,existing,https://commons.wikimedia.org/wiki/File:Coccyzus_Americanus_by_John_Gould.jpg
,,,,Greater Roadrunner,,geococcyx-californianus,,50,Geococcyx californianus,,missing-source,
,,,,Common Nighthawk,,chordeiles-minor,,51,Chordeiles minor,,missing-source,
,,,,Chuck-will's-widow,,antrostomus-carolinensis,,52,Antrostomus carolinensis,,missing-source,
,,,,Eastern Whip-poor-will,,antrostomus-vociferus,,53,Antrostomus vociferus,,missing-source,
,melanerpes-carolinus.webp,,,Red-bellied Woodpecker,,melanerpes-carolinus,,54,Melanerpes carolinus,audubon,existing,https://media.audubon.org/boa_illustration/plate-416-hairy-woodpecker.jpg
,,,,Golden-fronted Woodpecker,,melanerpes-aurifrons,,55,Melanerpes aurifrons,,missing-source,
,,,,Downy Woodpecker,,dryobates-pubescens,,56,Dryobates pubescens,,missing-source,
,,,,Ladder-backed Woodpecker,,dryobates-scalaris,,57,Dryobates scalaris,,missing-source,
,,,,Pileated Woodpecker,,dryocopus-pileatus,,58,Dryocopus pileatus,,missing-source,
,,,,Northern Flicker,,colaptes-auratus,,59,Colaptes auratus,,missing-source,
,,,,Yellow-bellied Sapsucker,,sphyrapicus-varius,,60,Sphyrapicus varius,,missing-source,
,,,,Eastern Phoebe,,sayornis-phoebe,,61,Sayornis phoebe,,missing-source,
,,,,Eastern Wood-Pewee,,contopus-virens,,62,Contopus virens,,missing-source,
,,,,Great Crested Flycatcher,,myiarchus-crinitus,,63,Myiarchus crinitus,,missing-source,
,,,,Scissor-tailed Flycatcher,,tyrannus-forficatus,,64,Tyrannus forficatus,,missing-source,
,,,,Western Kingbird,,tyrannus-verticalis,,65,Tyrannus verticalis,,missing-source,
,,,,Eastern Kingbird,,tyrannus-tyrannus,,66,Tyrannus tyrannus,,missing-source,
,,,,Vermilion Flycatcher,,pyrocephalus-rubinus,,67,Pyrocephalus rubinus,,missing-source,
,,,,White-eyed Vireo,,vireo-griseus,,68,Vireo griseus,,missing-source,
,,,,Red-eyed Vireo,,vireo-olivaceus,,69,Vireo olivaceus,,missing-source,
,,,,Yellow-throated Vireo,,vireo-flavifrons,,70,Vireo flavifrons,,missing-source,
,,,,Blue-gray Gnatcatcher,,polioptila-caerulea,,71,Polioptila caerulea,,missing-source,
,,,,Ruby-crowned Kinglet,,corthylio-calendula,,72,Corthylio calendula,,missing-source,
,,,,Golden-crowned Kinglet,,regulus-satrapa,,73,Regulus satrapa,,missing-source,
,,,,Brown Creeper,,certhia-americana,,74,Certhia americana,,missing-source,
,,,,Gray Catbird,,dumetella-carolinensis,,75,Dumetella carolinensis,,missing-source,
,,,,Brown Thrasher,,toxostoma-rufum,,76,Toxostoma rufum,,missing-source,
,,,,Orange-crowned Warbler,,leiothlypis-celata,,77,Leiothlypis celata,,missing-source,
,,,,Yellow-rumped Warbler,,setophaga-coronata,,78,Setophaga coronata,,missing-source,
,,,,Yellow Warbler,,setophaga-petechia,,79,Setophaga petechia,,missing-source,
,,,,Common Yellowthroat,,geothlypis-trichas,,80,Geothlypis trichas,,missing-source,
,,,,Northern Parula,,setophaga-americana,,81,Setophaga americana,,missing-source,
,,,,Black-and-white Warbler,,mniotilta-varia,,82,Mniotilta varia,,missing-source,
,,,,American Redstart,,setophaga-ruticilla,,83,Setophaga ruticilla,,missing-source,
,,,,Pine Warbler,,setophaga-pinus,,84,Setophaga pinus,,missing-source,
,,,,Yellow-throated Warbler,,setophaga-dominica,,85,Setophaga dominica,,missing-source,
,,,,Summer Tanager,,piranga-rubra,,86,Piranga rubra,,missing-source,
,,,,Painted Bunting,,passerina-ciris,,87,Passerina ciris,,missing-source,
,,,,Indigo Bunting,,passerina-cyanea,,88,Passerina cyanea,,missing-source,
,,,,Blue Grosbeak,,passerina-caerulea,,89,Passerina caerulea,,missing-source,
,,,,Dickcissel,,spiza-americana,,90,Spiza americana,,missing-source,
,,,,Chipping Sparrow,,spizella-passerina,,91,Spizella passerina,,missing-source,
,,,,Lark Sparrow,,chondestes-grammacus,,92,Chondestes grammacus,,missing-source,
,,,,White-throated Sparrow,,zonotrichia-albicollis,,93,Zonotrichia albicollis,,missing-source,
,,,,Lincoln's Sparrow,,melospiza-lincolnii,,94,Melospiza lincolnii,,missing-source,
,,,,Savannah Sparrow,,passerculus-sandwichensis,,95,Passerculus sandwichensis,,missing-source,
,,,,Eastern Meadowlark,,sturnella-magna,,96,Sturnella magna,,missing-source,
,,,,Orchard Oriole,,icterus-spurius,,97,Icterus spurius,,missing-source,
,,,,Baltimore Oriole,,icterus-galbula,,98,Icterus galbula,,missing-source,
,,,,Black-bellied Whistling-Duck,,dendrocygna-autumnalis,,99,Dendrocygna autumnalis,,missing-source,
,,,,Wood Duck,,aix-sponsa,,100,Aix sponsa,,missing-source,
,anas-platyrhynchos.webp,,,Mallard,,anas-platyrhynchos,,101,Anas platyrhynchos,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCommon_Wild_Duck.jpg
,,,,Mottled Duck,,anas-fulvigula,,102,Anas fulvigula,,missing-source,
,,,,Blue-winged Teal,,spatula-discors,,103,Spatula discors,,missing-source,
,spatula-clypeata.webp,,,Northern Shoveler,,spatula-clypeata,,104,Spatula clypeata,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVShoveller_Duck.jpg
,mareca-strepera.webp,,,Gadwall,,mareca-strepera,,105,Mareca strepera,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGadwall.jpg
,,,,American Wigeon,,mareca-americana,,106,Mareca americana,,missing-source,
,anas-crecca.webp,,,Green-winged Teal,,anas-crecca,,107,Anas crecca,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCommon_Teal.jpg
,,,,Pied-billed Grebe,,podilymbus-podiceps,,108,Podilymbus podiceps,,missing-source,
,,,,Neotropic Cormorant,,nannopterum-brasilianum,,109,Nannopterum brasilianum,,missing-source,
,,,,Double-crested Cormorant,,nannopterum-auritum,,110,Nannopterum auritum,,missing-source,
,,,,Great Blue Heron,,ardea-herodias,,111,Ardea herodias,,missing-source,
,ardea-alba.webp,,,Great Egret,,ardea-alba,,112,Ardea alba,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGreat_Egret.jpg
,,,,Snowy Egret,,egretta-thula,,113,Egretta thula,,missing-source,
,,,,Green Heron,,butorides-virescens,,114,Butorides virescens,,missing-source,
,,,,Yellow-crowned Night-Heron,,nyctanassa-violacea,,115,Nyctanassa violacea,,missing-source,
