plate,status,title,pageid,source_page,download_url,original_url,original_sha1,download_sha256,normalized_sha256,license,license_url,artist,credit,source_local,width,height
1,downloaded public-domain source; crop unreviewed,File:1 Wild Turkey.jpg,8710187,https://commons.wikimedia.org/wiki/File:1_Wild_Turkey.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/69/1_Wild_Turkey.jpg/1920px-1_Wild_Turkey.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/6/69/1_Wild_Turkey.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,5bff38df7e32fa3cf4790497662c4e4a1afabf88,27ab09ab7dbb4935284cebe09ccc5cecfaab76de1dc18b1361d2032dcad1d0e2,7542379711ec862cfb8585225ffb7beca5809ca7fe3c37e0159a727c830da9ee,Public domain,,John James Audubon,University of Pittsburgh,sources/001.png,1208,1800
3,downloaded public-domain source; crop unreviewed,File:3 Prothonotary Warbler.jpg,8716354,https://commons.wikimedia.org/wiki/File:3_Prothonotary_Warbler.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/3_Prothonotary_Warbler.jpg/1920px-3_Prothonotary_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/6/65/3_Prothonotary_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,d9caaa63d17e5dfef16732fcabb320a18923ad13,6c5d7211d6ae18d8f8ab9af67a266ba74fedc30b16e4ad860554cca24249f189,813db2abfef7598508f40095d6d4af3d710036b63d1aa08f8b56a576b93a4afc,Public domain,,John James Audubon,University of Pittsburgh,sources/003.png,1243,1800
4,downloaded public-domain source; crop unreviewed,File:4 Purple Finch.jpg,8710923,https://commons.wikimedia.org/wiki/File:4_Purple_Finch.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/4_Purple_Finch.jpg/1920px-4_Purple_Finch.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/ed/4_Purple_Finch.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,32381c5c9703879f9b40ade764b2c2859484c5a1,4dc4fb4b192e273a970992c8fcbc4098584286787dab20e6a672b7ca47edd204,4d71944e8b6c4f6619b454853ed017bda4f99e95d35b61140ae36d43f934888c,Public domain,,John James Audubon,University of Pittsburgh,sources/004.png,1242,1800
7,downloaded public-domain source; crop unreviewed,File:7 Purple Grakle or Common Crow Blackbird.jpg,8713583,https://commons.wikimedia.org/wiki/File:7_Purple_Grakle_or_Common_Crow_Blackbird.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/7_Purple_Grakle_or_Common_Crow_Blackbird.jpg/1920px-7_Purple_Grakle_or_Common_Crow_Blackbird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/70/7_Purple_Grakle_or_Common_Crow_Blackbird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,480435939f673ddad38f10eb11c62cf47cbd2fbc,55fe5ebe973cac0b129f38d528bc1cdcd99de6a5a606d40df03586ab8425d83f,6c3408af33564b87c61d2b841fbc01982fb6f47fc4c4823b2c3fb58d10b7697d,Public domain,,John James Audubon,University of Pittsburgh,sources/007.png,1242,1800
8,downloaded public-domain source; crop unreviewed,File:8 White throated Sparrow.jpg,8716451,https://commons.wikimedia.org/wiki/File:8_White_throated_Sparrow.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d6/8_White_throated_Sparrow.jpg/1920px-8_White_throated_Sparrow.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/d6/8_White_throated_Sparrow.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,b7a3eaf0052ca2e77c1c125ea9caa75c4e41fa8d,bd14e7c8a8f7742cf91cfa69a321630bd3b7213c184e7fa34dc1b387999b4761,7f4854676c7d720e5badbe5cc10badfb655c9a38c0ea1b3cb81ebfa2d55623a7,Public domain,,John James Audubon,University of Pittsburgh,sources/008.png,1245,1800
12,downloaded public-domain source; crop unreviewed,File:12 Baltimore Oriole.jpg,8715089,https://commons.wikimedia.org/wiki/File:12_Baltimore_Oriole.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fc/12_Baltimore_Oriole.jpg/1920px-12_Baltimore_Oriole.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/f/fc/12_Baltimore_Oriole.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,f137a1d61d1e09490c673f3f01895729ec099eb2,dd81021346bbc359b27024d883a8f6d20b58e57fd7f0360fd35a882cdff70e92,67420388579316250a7eac33d654282cf313b8378aae14d78a0155e1ec4a5b96,Public domain,,John James Audubon,University of Pittsburgh,sources/012.png,1245,1800
14,downloaded public-domain source; crop unreviewed,File:14 Prairie Warbler.jpg,8715144,https://commons.wikimedia.org/wiki/File:14_Prairie_Warbler.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/14_Prairie_Warbler.jpg/1920px-14_Prairie_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/c/c3/14_Prairie_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,05d4b4a45dc4deaad47e81bf99f74540a73155a8,cf21b356d352a743eb8a65dd0b49ac0f54b3062802349109dc60f21ca5bc7fef,2f123d384b01a957ef183817a8e2194693ecb41cf6e078bc9c2ff1beee210df2,Public domain,,John James Audubon,University of Pittsburgh,sources/014.png,1251,1800
15,downloaded public-domain source; crop unreviewed,File:15 Blue Yellow-backed Warbler.jpg,8715175,https://commons.wikimedia.org/wiki/File:15_Blue_Yellow-backed_Warbler.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/15_Blue_Yellow-backed_Warbler.jpg/1920px-15_Blue_Yellow-backed_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/4/4e/15_Blue_Yellow-backed_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,3f4ce6be36981968cabb58b0a618e6b277a81096,2bec06a51e0aff4b234920d85805cb4f428f0e2fb85ebd03f6e382dc2226d1ee,76fd48e3d6c23d5277ba916aaa73a427c2123d0c10026c8adabe2d2bee04cfb5,Public domain,,John James Audubon,University of Pittsburgh,sources/015.png,1254,1800
17,downloaded public-domain source; crop unreviewed,File:17 Carolina Turtle Dove.jpg,8715236,https://commons.wikimedia.org/wiki/File:17_Carolina_Turtle_Dove.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/17_Carolina_Turtle_Dove.jpg/1920px-17_Carolina_Turtle_Dove.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/3/37/17_Carolina_Turtle_Dove.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,09e1a5cc5e4c76b08b661ccfdfbe158f81031fb5,2b3549a60a350632381f9be188f0391c7e2b6d28a6d9f9f39aaed598d97134fe,569ebfc79f21658b953e32a5064b872b4ef803f2e6fc3562f0f8a4e65eef9249,Public domain,,John James Audubon,University of Pittsburgh,sources/017.png,1253,1800
18,downloaded public-domain source; crop unreviewed,File:18 Bewick's Wren.jpg,8715252,https://commons.wikimedia.org/wiki/File:18_Bewick%27s_Wren.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/18_Bewick%27s_Wren.jpg/1920px-18_Bewick%27s_Wren.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/7c/18_Bewick%27s_Wren.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,e59e61461d0afe266ee26000d947acbdccdd89b9,5dda36c5fa61e0baecee4b5c8f4f6d0ed4b538215341985af558605c66e5290e,853edd117c3499ea52724bcf46a54fd69f3c467a0997ba14c7d87530c0b029a9,Public domain,,John James Audubon,University of Pittsburgh,sources/018.png,1246,1800
