rank,requested,taxonomy_status,scientific,model_scientific,model_common,key,note,asset_status,plate,historical_title,match_basis,source_page,institution_record,license_status,crop_status,source_local,source_download,source_sha256,artwork_status,shipped_source_page
1,Northern Cardinal,exact common name,Cardinalis cardinalis,Cardinalis cardinalis,Northern Cardinal,cardinalis-cardinalis,,source downloaded - NOT a finished asset,159,Cardinal Grosbeak,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/cardinal-grosbeak,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0159,unverified - check exact scan,not reviewed,sources/159.jpg,https://media.audubon.org/boa_illustration/plate-159-cardinal-grosbeak.jpg,38303464a31482a39df93f5e1b59deb2e829b68b6dd834f29909e039924ef7be,present,https://media.audubon.org/boa_illustration/plate-159-cardinal-grosbeak.jpg
2,Northern Mockingbird,exact common name,Mimus polyglottos,Mimus polyglottos,Northern Mockingbird,mimus-polyglottos,,source downloaded - NOT a finished asset,21,Mocking Bird,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/mocking-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0021,unverified - check exact scan,not reviewed,sources/021.jpg,https://media.audubon.org/boa_illustration/plate-21-mocking-bird.jpg,ca392e12cff70a29cc063c0bb9e4c7f1eb4e6f1f07a711773f55a0fd2a2c1798,present,https://commons.wikimedia.org/wiki/File:21_Mocking_Bird.jpg
3,White-winged Dove,exact common name,Zenaida asiatica,Zenaida asiatica,White-winged Dove,zenaida-asiatica,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_America_(Pl._496)_(8595340898).jpg
4,Mourning Dove,exact common name,Zenaida macroura,Zenaida macroura,Mourning Dove,zenaida-macroura,,source downloaded - NOT a finished asset,17,Carolina Pigeon,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/carolina-pigeon,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0017,unverified - check exact scan,not reviewed,sources/017.jpg,https://media.audubon.org/boa_illustration/plate-17-carolina-pigeon.jpg,40908a3cec2ec8f736d34dd63c7b64c294a9c67cab64c55ba77c663bba931250,missing,
5,Rock Pigeon,exact common name,Columba livia,Columba livia,Rock Pigeon,columba-livia,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVRock_Dove.jpg
6,Eurasian Collared-Dove,exact common name,Streptopelia decaocto,Streptopelia decaocto,Eurasian Collared-Dove,streptopelia-decaocto,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Onze_vogels_in_huis_en_tuin_(12238985825).jpg
7,Blue Jay,exact common name,Cyanocitta cristata,Cyanocitta cristata,Blue Jay,cyanocitta-cristata,,existing upstream,102,Blue Jay,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/blue-jay,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0102,unverified - check exact scan,not reviewed,,,,present,https://media.audubon.org/boa_illustration/plate-102-blue-jay.jpg
8,Carolina Chickadee,exact common name,Poecile carolinensis,Poecile carolinensis,Carolina Chickadee,poecile-carolinensis,,source downloaded - NOT a finished asset,160,Carolina Titmouse,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/carolina-titmouse,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0160,unverified - check exact scan,not reviewed,sources/160.jpg,https://media.audubon.org/boa_illustration/plate-160-carolina-titmouse.jpg,c3fb49debf41e7994863bbf6d2867a1506c2b30003db9a39c252f89abd212585,present,https://commons.wikimedia.org/wiki/File:The_birds_of_America_(Pl._127)_(8569740762).jpg
9,Carolina Wren,exact common name,Thryothorus ludovicianus,Thryothorus ludovicianus,Carolina Wren,thryothorus-ludovicianus,,source downloaded - NOT a finished asset,78,Great Carolina Wren,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/great-carolina-wren,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0078,unverified - check exact scan,not reviewed,sources/078.jpg,https://media.audubon.org/boa_illustration/plate-78-great-carolina-wren.jpg,948de271209d4e86eff411821af6968ca37d30fa44676782f7063f0a9351d5bb,present,https://commons.wikimedia.org/wiki/File:78_Great_Carolina_Wren.jpg
10,House Wren,exact common name,Troglodytes aedon,Troglodytes aedon,House Wren,troglodytes-aedon,,source downloaded - NOT a finished asset,83,House Wren,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/house-wren,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0083,unverified - check exact scan,not reviewed,sources/083.jpg,https://media.audubon.org/boa_illustration/plate-83-house-wren.jpg,a57e6d1543a32ff63f727f27ae96da3f2162d263533efd56feb93404ec67daa5,present,https://commons.wikimedia.org/wiki/File:83_House_Wren.jpg
11,Bewick's Wren,exact common name,Thryomanes bewickii,Thryomanes bewickii,Bewick's Wren,thryomanes-bewickii,,source downloaded - NOT a finished asset,18,Bewick's Wren,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/bewicks-wren,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0018,unverified - check exact scan,not reviewed,sources/018.jpg,https://media.audubon.org/boa_illustration/plate-18-bewicks-wren.jpg,8669df456a96fefb1206365037eeafab989ce22e79990eedc06263f05eef1156,present,https://commons.wikimedia.org/wiki/File:18_Bewick%27s_Wren.jpg
12,Tufted Titmouse,exact common name,Baeolophus bicolor,Baeolophus bicolor,Tufted Titmouse,baeolophus-bicolor,,source downloaded - NOT a finished asset,39,Crested Titmouse,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/crested-titmouse,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0039,unverified - check exact scan,not reviewed,sources/039.jpg,https://media.audubon.org/boa_illustration/plate-39-crested-titmouse.jpg,b99d6e0877db6d8c8d32feabc0663715ddbd38f91bceb057ffeca1dbbddb98d2,present,https://commons.wikimedia.org/wiki/File:39_Crested_Titmouse.jpg
13,Black-crested Titmouse,exact common name,Baeolophus atricristatus,Baeolophus atricristatus,Black-crested Titmouse,baeolophus-atricristatus,,needs source,,,,,,,,,,,missing,
14,Great-tailed Grackle,exact common name,Quiscalus mexicanus,Quiscalus mexicanus,Great-tailed Grackle,quiscalus-mexicanus,,needs source,,,,,,,,,,,missing,
15,Common Grackle,exact common name,Quiscalus quiscula,Quiscalus quiscula,Common Grackle,quiscalus-quiscula,,source downloaded - NOT a finished asset,7,"Purple Grakle, or Common Crow Blackbird",historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/purple-grakle,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0007,unverified - check exact scan,not reviewed,sources/007.jpg,https://media.audubon.org/boa_illustration/plate-7-purple-grakle.jpg,bf6238d32aa4e1eb6322ef6234329d4cd6e3f9cb6c93e1e7a432cce362a84a08,present,https://commons.wikimedia.org/wiki/File:7_Purple_Grakle_or_Common_Crow_Blackbird.jpg
16,Brown-headed Cowbird,exact common name,Molothrus ater,Molothrus ater,Brown-headed Cowbird,molothrus-ater,,source downloaded - NOT a finished asset,99,Cow-pen Bird,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/cow-pen-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0099,unverified - check exact scan,not reviewed,sources/099.jpg,https://media.audubon.org/boa_illustration/plate-99-cow-pen-bird.jpg,aefe7e5817ec8e8b784d3f31d2953f3d5ea1d1e6961f7687266fdae3d2f91d03,missing,
17,Red-winged Blackbird,exact common name,Agelaius phoeniceus,Agelaius phoeniceus,Red-winged Blackbird,agelaius-phoeniceus,,source downloaded - NOT a finished asset,67,"Red winged Starling, or Marsh Blackbird",historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/red-winged-starling,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0067,unverified - check exact scan,not reviewed,sources/067.jpg,https://media.audubon.org/boa_illustration/plate-67-red-winged-starling.jpg,e8d54414bcf90f5d7e7ee85929132a610bc53ff24a8547c02e0ff7bed6a2f1e0,present,https://commons.wikimedia.org/wiki/File:67_Red-winged_Starling_or_Marsh_Blackbird.jpg
18,House Sparrow,exact common name,Passer domesticus,Passer domesticus,House Sparrow,passer-domesticus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00220.jpg
19,House Finch,exact common name,Haemorhous mexicanus,Haemorhous mexicanus,House Finch,haemorhous-mexicanus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:424_I._Lazuli_Finch_-_2._Crimson-necked_Bull-Finch_-_3._Gray-crowned_Linnet_-_4._Cow-pen_Bird_-_5._Evening_Grosbeak_-_6._Brown_Longspur.jpg
20,American Goldfinch,exact common name,Spinus tristis,Spinus tristis,American Goldfinch,spinus-tristis,,source downloaded - NOT a finished asset,33,American Goldfinch,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-goldfinch,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0033,unverified - check exact scan,not reviewed,sources/033.jpg,https://media.audubon.org/boa_illustration/plate-33-american-goldfinch.jpg,6664a1268fba77af0e307ad5b79b60b527b9b30f9c4ee4e8b07811945ee08f66,missing,
21,Lesser Goldfinch,exact common name,Spinus psaltria,Spinus psaltria,Lesser Goldfinch,spinus-psaltria,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:400_I._Arkansaw_Siskin_-_2._Mealy_Red-poll_-_3._Louisiana_Tanager_-_4.Townsend%27s_Finch_-_5._Buff-breasted_Finch.jpg
22,Cedar Waxwing,exact common name,Bombycilla cedrorum,Bombycilla cedrorum,Cedar Waxwing,bombycilla-cedrorum,,source downloaded - NOT a finished asset,43,Cedar Bird,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/cedar-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0043,unverified - check exact scan,not reviewed,sources/043.jpg,https://media.audubon.org/boa_illustration/plate-43-cedar-bird.jpg,aaadcf042b7385d2759bb75782525790896d891ae9dfacd81c4ccef5d104cfd9,missing,
23,American Robin,exact common name,Turdus migratorius,Turdus migratorius,American Robin,turdus-migratorius,,existing upstream,131,American Robin,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-robin,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0131,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIMigratory_Ouzel.jpg
24,Eastern Bluebird,exact common name,Sialia sialis,Sialia sialis,Eastern Bluebird,sialia-sialis,,source downloaded - NOT a finished asset,113,Blue-bird,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/blue-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0113,unverified - check exact scan,not reviewed,sources/113.jpg,https://media.audubon.org/boa_illustration/plate-113-blue-bird.jpg,9e59bf65842a540c70ecc4d05aeea8e35218b4a7918340df5781498920f9874a,present,https://commons.wikimedia.org/wiki/File:113_Blue-bird.jpg
25,European Starling,exact common name,Sturnus vulgaris,Sturnus vulgaris,European Starling,sturnus-vulgaris,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIStarling.jpg
26,Black Vulture,exact common name,Coragyps atratus,Coragyps atratus,Black Vulture,coragyps-atratus,,source downloaded - NOT a finished asset,106,"Black Vulture, or Carrion Crow",historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/black-vulture-or-carrion-crow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0106,unverified - check exact scan,not reviewed,sources/106.jpg,https://media.audubon.org/boa_illustration/plate-106-black-vulture-or-carrion-crow.jpg,fc0940640d4633cf93e6781158a6fad9f8deae77661391e6acdacf134b7fded5,present,https://commons.wikimedia.org/wiki/File:106_Black_Vulture_or_Carrion_Crow.jpg
